Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,2644.969971,2644.969971,2624.060059,2643.850098,2643.850098,3612810000
2019-01-29,2644.889893,2650.929932,2631.050049,2640.000000,2640.000000,3504200000
2019-01-30,2653.620117,2690.439941,2648.340088,2681.050049,2681.050049,3857810000
2019-01-31,2685.489990,2708.949951,2678.649902,2704.100098,2704.100098,4917650000
2019-02-01,2702.320068,2716.659912,2696.879883,2706.530029,2706.530029,3759270000
2019-02-04,2706.489990,2724.989990,2698.750000,2724.870117,2724.870117,3359840000
2019-02-05,2728.340088,2738.979980,2724.030029,2737.699951,2737.699951,3560430000
2019-02-06,2735.050049,2738.080078,2724.149902,2731.610107,2731.610107,3472690000
2019-02-07,2717.530029,2719.320068,2687.260010,2706.050049,2706.050049,4099490000
2019-02-08,2692.360107,2708.070068,2681.830078,2707.879883,2707.879883,3622330000
2019-02-11,2712.399902,2718.050049,2703.790039,2709.800049,2709.800049,3361970000
2019-02-12,2722.610107,2748.189941,2722.610107,2744.729980,2744.729980,3827770000
2019-02-13,2750.300049,2761.850098,2748.629883,2753.030029,2753.030029,3670770000
2019-02-14,2743.500000,2757.899902,2731.229980,2745.729980,2745.729980,3836700000
2019-02-15,2760.239990,2775.659912,2760.239990,2775.600098,2775.600098,3641370000
2019-02-19,2769.280029,2787.330078,2767.290039,2779.760010,2779.760010,3533710000
2019-02-20,2779.050049,2789.879883,2774.060059,2784.699951,2784.699951,3835450000
2019-02-21,2780.239990,2781.580078,2764.550049,2774.879883,2774.879883,3559710000
2019-02-22,2780.669922,2794.199951,2779.110107,2792.669922,2792.669922,3427810000
2019-02-25,2804.350098,2813.489990,2794.989990,2796.110107,2796.110107,3804380000
