year,geo_name,geo,income
2013,"Alabama","04000US01",43253.0
2013,"Alaska","04000US02",70760.0
2013,"Arizona","04000US04",49774.0
2013,"Arkansas","04000US05",40768.0
2013,"California","04000US06",61094.0
2013,"Colorado","04000US08",58433.0
2013,"Connecticut","04000US09",69461.0
2013,"Delaware","04000US10",59878.0
2013,"District of Columbia","04000US11",65830.0
2013,"Florida","04000US12",46956.0
2013,"Georgia","04000US13",49179.0
2013,"Hawaii","04000US15",67402.0
2013,"Idaho","04000US16",46767.0
2013,"Illinois","04000US17",56797.0
2013,"Indiana","04000US18",48248.0
2013,"Iowa","04000US19",51843.0
2013,"Kansas","04000US20",51332.0
2013,"Kentucky","04000US21",43036.0
2013,"Louisiana","04000US22",44874.0
2013,"Maine","04000US23",48453.0
2013,"Maryland","04000US24",73538.0
2013,"Massachusetts","04000US25",66866.0
2013,"Michigan","04000US26",48411.0
2013,"Minnesota","04000US27",59836.0
2013,"Mississippi","04000US28",39031.0
2013,"Missouri","04000US29",47380.0
2013,"Montana","04000US30",46230.0
2013,"Nebraska","04000US31",51672.0
2013,"Nevada","04000US32",52800.0
2013,"New Hampshire","04000US33",64916.0
2013,"New Jersey","04000US34",71629.0
2013,"New Mexico","04000US35",44927.0
2013,"New York","04000US36",58003.0
2013,"North Carolina","04000US37",46334.0
2013,"North Dakota","04000US38",53741.0
2013,"Ohio","04000US39",48308.0
2013,"Oklahoma","04000US40",45339.0
2013,"Oregon","04000US41",50229.0
2013,"Pennsylvania","04000US42",52548.0
2013,"Rhode Island","04000US44",56361.0
2013,"South Carolina","04000US45",44779.0
2013,"South Dakota","04000US46",49495.0
2013,"Tennessee","04000US47",44298.0
2013,"Texas","04000US48",51900.0
2013,"Utah","04000US49",58821.0
2013,"Vermont","04000US50",54267.0
2013,"Virginia","04000US51",63907.0
2013,"Washington","04000US53",59478.0
2013,"West Virginia","04000US54",41043.0
2013,"Wisconsin","04000US55",52413.0
2013,"Wyoming","04000US56",57406.0
2013,"Puerto Rico","04000US72",19624.0
2014,"Alabama","04000US01",43511.0
2014,"Alaska","04000US02",71829.0
2014,"Arizona","04000US04",49928.0
2014,"Arkansas","04000US05",41264.0
2014,"California","04000US06",61489.0
2014,"Colorado","04000US08",59448.0
2014,"Connecticut","04000US09",69899.0
2014,"Delaware","04000US10",60231.0
2014,"District of Columbia","04000US11",69235.0
2014,"Florida","04000US12",47212.0
2014,"Georgia","04000US13",49342.0
2014,"Hawaii","04000US15",68201.0
2014,"Idaho","04000US16",47334.0
2014,"Illinois","04000US17",57166.0
2014,"Indiana","04000US18",48737.0
2014,"Iowa","04000US19",52716.0
2014,"Kansas","04000US20",51872.0
2014,"Kentucky","04000US21",43342.0
2014,"Louisiana","04000US22",44991.0
2014,"Maine","04000US23",48804.0
2014,"Maryland","04000US24",74149.0
2014,"Massachusetts","04000US25",67846.0
2014,"Michigan","04000US26",49087.0
2014,"Minnesota","04000US27",60828.0
2014,"Mississippi","04000US28",39464.0
2014,"Missouri","04000US29",47764.0
2014,"Montana","04000US30",46766.0
2014,"Nebraska","04000US31",52400.0
2014,"Nevada","04000US32",52205.0
2014,"New Hampshire","04000US33",65986.0
2014,"New Jersey","04000US34",72062.0
2014,"New Mexico","04000US35",44968.0
2014,"New York","04000US36",58687.0
2014,"North Carolina","04000US37",46693.0
2014,"North Dakota","04000US38",55579.0
2014,"Ohio","04000US39",48849.0
2014,"Oklahoma","04000US40",46235.0
2014,"Oregon","04000US41",50521.0
2014,"Pennsylvania","04000US42",53115.0
2014,"Rhode Island","04000US44",56423.0
2014,"South Carolina","04000US45",45033.0
2014,"South Dakota","04000US46",50338.0
2014,"Tennessee","04000US47",44621.0
2014,"Texas","04000US48",52576.0
2014,"Utah","04000US49",59846.0
2014,"Vermont","04000US50",54447.0
2014,"Virginia","04000US51",64792.0
2014,"Washington","04000US53",60294.0
2014,"West Virginia","04000US54",41576.0
2014,"Wisconsin","04000US55",52738.0
2014,"Wyoming","04000US56",58252.0
2014,"Puerto Rico","04000US72",19686.0
2015,"Alaska","04000US02",72515.0
2015,"Alabama","04000US01",43623.0
2015,"Arkansas","04000US05",41371.0
2015,"Arizona","04000US04",50255.0
2015,"California","04000US06",61818.0
2015,"Colorado","04000US08",60629.0
2015,"Connecticut","04000US09",70331.0
2015,"District of Columbia","04000US11",70848.0
2015,"Delaware","04000US10",60509.0
2015,"Florida","04000US12",47507.0
2015,"Georgia","04000US13",49620.0
2015,"Hawaii","04000US15",69515.0
2015,"Iowa","04000US19",53183.0
2015,"Idaho","04000US16",47583.0
2015,"Illinois","04000US17",57574.0
2015,"Indiana","04000US18",49255.0
2015,"Kansas","04000US20",52205.0
2015,"Kentucky","04000US21",43740.0
2015,"Louisiana","04000US22",45047.0
2015,"Massachusetts","04000US25",68563.0
2015,"Maryland","04000US24",74551.0
2015,"Maine","04000US23",49331.0
2015,"Michigan","04000US26",49576.0
2015,"Minnesota","04000US27",61492.0
2015,"Missouri","04000US29",48173.0
2015,"Mississippi","04000US28",39665.0
2015,"Montana","04000US30",47169.0
2015,"North Carolina","04000US37",46868.0
2015,"North Dakota","04000US38",57181.0
2015,"Nebraska","04000US31",52997.0
2015,"New Hampshire","04000US33",66779.0
2015,"New Jersey","04000US34",72093.0
2015,"New Mexico","04000US35",44963.0
2015,"Nevada","04000US32",51847.0
2015,"New York","04000US36",59269.0
2015,"Ohio","04000US39",49429.0
2015,"Oklahoma","04000US40",46879.0
2015,"Oregon","04000US41",51243.0
2015,"Pennsylvania","04000US42",53599.0
2015,"Puerto Rico","04000US72",19350.0
2015,"Rhode Island","04000US44",56852.0
2015,"South Carolina","04000US45",45483.0
